,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
electorate,booths,alp,alib,anxt,anone,lib,lalp,lnxt,lnone,nxt,nalp,nlib,nnone,grn,galp,ganxt,galib,ganone,glib,glalp,glnxt,glnone,gnxt,gnalp,gnlib,gnnone,gnone,other,oalp,oanxt,oalib,oanone,olib,olalp,olnxt,olnone,onxt,onalp,onlib,onnone,onone,donkeys
ADELAIDE,Adelaide,203,48,92,63,191,54,117,20,86,46,30,10,119,81,34,11,36,7,5,0,2,23,18,2,3,8,65,20,8,2,10,16,6,3,7,19,9,2,8,10,2
ADELAIDE,Adelaide East,350,62,170,118,512,77,354,81,175,88,71,16,196,126,58,14,54,11,6,2,3,55,37,5,13,4,80,27,9,3,15,15,4,7,4,26,16,5,5,12,0
ADELAIDE,Adelaide South,491,67,254,170,624,102,422,100,308,157,116,35,324,207,98,21,88,22,11,6,5,86,72,5,9,9,140,29,10,7,12,38,6,12,20,49,22,11,16,24,1
ADELAIDE,College Park,115,19,53,43,404,57,287,60,94,39,45,10,59,32,14,5,13,7,1,2,4,18,12,2,4,2,38,10,3,1,6,12,2,4,6,10,4,3,3,6,0
ADELAIDE,North Adelaide,562,87,289,186,1333,136,981,216,389,200,160,29,265,166,73,26,67,22,12,8,2,65,52,8,5,12,165,45,14,9,22,50,14,14,22,47,19,14,14,23,1
ADELAIDE,Prospect,900,125,446,329,1008,179,702,127,502,251,199,52,268,170,83,15,72,12,8,1,3,77,56,8,13,9,192,48,17,9,22,38,10,14,14,64,16,17,31,42,3
ADELAIDE,Walkerville,364,49,176,139,1319,158,975,186,341,148,160,33,145,77,41,11,25,17,10,3,4,41,28,8,5,10,120,26,12,3,11,37,6,20,11,37,18,8,11,20,0
ADELIADE,Prospect South,332,57,167,108,596,79,431,86,252,126,96,30,82,57,30,6,21,6,1,4,1,18,15,3,0,1,81,15,10,1,4,34,8,9,17,24,5,10,9,8,3
BADCOE,Black Forest (Adelaide),229,25,131,73,230,45,153,32,142,79,44,19,84,49,28,4,17,2,1,0,1,30,20,4,6,3,47,8,3,1,4,15,3,6,6,16,3,7,6,8,0
BADCOE,Black Forest East,424,55,210,159,618,74,450,94,303,140,136,27,141,97,43,5,49,5,3,2,0,37,28,6,3,2,88,27,13,7,7,20,4,8,8,25,11,6,8,16,1
