"Seat","Primary Votes","ALP","LIB","NXT/SA BEST","GRN","OTHER","3CP","ALP","LIB","NXT/SA BEST","2PP","Party 1","Votes","Party 2","Votes"
"ADELAIDE","","27.4310650827","38.8662246472","15.5383886859","15.5012690049","2.66305257934","","38.3468432911","40.8818347283","20.7713219806","","ALP","51.0658216057","LIB","48.9341783943"
"BADCOE","","35.5902124793","30.1879056934","19.3847357006","11.5671747091","3.26997141762","","44.2200074585","32.0539036522","23.7260888893","","ALP","58.6574706753","LIB","41.3425293247"
"BLACK","","36.0378408279","30.4237394946","20.6078649954","9.12503116078","3.80552352129","","42.5938832988","32.4307147814","24.9754019198","","ALP","57.4002686245","LIB","42.5997313755"
"BRAGG","","17.0570980787","51.429291542","18.5559309286","10.6495340113","2.30814543928","","23.4665467515","53.4137183204","23.1197349281","","ALP","36.5158028861","LIB","63.4841971139"
"CHAFFEY","","19.9632259101","37.244391969","32.7788986184","3.61971019343","6.39377330908","","22.7527736189","40.0429700485","37.2042563326","","LIB","45.8948490371","NXT/SA BEST","54.1051509629"
"CHELTENHAM","","49.1360715972","19.6806114712","18.6604577532","7.74892105694","4.77393812145","","55.6742075627","21.5243482595","22.8014441778","","ALP","62.4497421618","NXT/SA BEST","37.5502578382"
"COLTON","","31.3502937199","39.9249078208","18.4972130034","7.49030950933","2.73727594662","","36.7592395599","41.5659297447","21.6748306954","","ALP","49.244051147","LIB","50.755948853"
"CROYDON","","53.0504148271","17.7640011472","15.4796629864","9.95235902305","3.75356201628","","61.1831727407","19.2537138469","19.5631134124","","ALP","67.9141314088","NXT/SA BEST","32.0753984042"
"DAVENPORT","","29.4939466421","31.7198263263","24.8639394876","9.71905410555","4.20323343844","","36.4276738369","33.8295317533","29.7427944098","","ALP","53.4152506233","LIB","46.5847493767"
"DUNSTAN","","26.8663066147","40.3054858756","17.2838649068","12.8245474397","2.71979516325","","35.3442446474","42.1678297987","22.4879255539","","ALP","49.0920241971","LIB","50.9079758029"
"ELDER","","28.3339793675","34.2640853813","22.5320246386","11.4853413039","3.38456930876","","35.6251900972","36.3786669101","27.9961429928","","ALP","52.3446075853","LIB","47.6553924147"
"ELIZABETH","","52.5716049133","14.6238895502","19.7812560857","4.9281356058","8.095113845","","58.9108730387","17.0736216645","24.0155052968","","ALP","64.212020454","NXT/SA BEST","35.7784157859"
"ENDCOE","","37.6475968946","27.6281928062","19.5661414122","10.7556652188","4.40240366815","","46.6042599696","29.3509703707","24.0447696597","","ALP","62.2789622447","LIB","37.7210377553"
"ENFIELD","","43.0919324332","25.8077261698","18.0327149095","9.06755543474","4.00007105279","","50.3981543594","27.6201862674","21.9816593732","","ALP","64.1504593753","LIB","35.8495406247"
"FINNISS","","20.0359590387","36.2337790777","31.4356085198","7.49184020047","4.80281316337","","24.1975433339","38.5653517611","37.237104905","","LIB","44.4529289005","NXT/SA BEST","55.5470710995"
"FLINDERS","","16.9735464911","48.5627073885","24.1528316337","4.55750379349","5.75341069323","","19.8741584929","51.7662359776","28.3596055295","","LIB","57.5645857483","NXT/SA BEST","42.3598542986"
"FLOREY","","46.2551193368","21.0873726473","20.7085522374","6.46221403633","5.48674174215","","52.1802787845","23.3223234638","24.4973977516","","ALP","59.0984133554","NXT/SA BEST","40.8918576505"
"FROME","","29.7019988207","36.298336426","23.9869336943","3.60990187591","6.40282918308","","33.1925054112","38.7886169327","28.0188776561","","ALP","49.4647159348","LIB","50.5302622384"
"GIBSON","","27.9594539632","36.0168771241","21.4888976475","11.2006231879","3.33414807731","","35.4159341931","38.0926426068","26.4914232001","","ALP","50.9860137139","LIB","49.0139862861"
"GILES","","42.0367173605","22.6406838883","26.8666730943","3.04349373465","5.41243192225","","45.1736535136","24.5323094472","30.2940370391","","ALP","53.0612092956","NXT/SA BEST","46.8771089502"
"HAMMOND","","22.6522869575","39.4930569378","25.9222218442","4.51722587047","7.41520839007","","26.7312801205","42.3937121236","30.8750077558","","LIB","49.5532359066","NXT/SA BEST","50.4467640934"
"HARTLEY","","30.1297650844","34.7484370464","22.7893895119","8.79222716396","3.54018119327","","36.1556508534","36.9112719831","26.9330771635","","ALP","52.3552294296","LIB","47.6447705704"
"HEYSEN","","15.1581982622","35.1026069016","31.25527081","14.5055578723","3.97836615375","","22.7135830452","37.3561465767","39.930270378","","LIB","42.2355048162","NXT/SA BEST","57.7644951838"
"HURTLE VALE","","43.1993316424","24.2289067895","20.6564218939","6.2934095445","5.6219301296","","49.026324489","26.1552360407","24.8184394703","","ALP","64.0673967695","LIB","35.9326032305"
"KAURNA","","45.7026784453","19.9874724598","20.3513157378","8.21692706808","5.74160628898","","52.9932482699","22.0260503581","24.980701372","","ALP","59.1516596304","NXT/SA BEST","40.8483403696"
"KAVEL","","18.071841913","35.1704356076","30.209751195","11.7229012607","4.82507002383","","24.3213292047","37.8029152793","37.875755516","","LIB","43.3611461836","NXT/SA BEST","56.6388538164"
"KING","","37.8608116512","29.5690105133","21.1019186713","5.5992630798","5.86899608444","","42.9462010684","31.9239866642","25.1298122674","","ALP","57.3585263254","LIB","42.6414736746"
"LEE","","39.2727149083","31.9534459248","19.4077264217","5.68698318653","3.6791295587","","44.0387758584","33.6912626266","22.269961515","","ALP","57.3194757288","LIB","42.6805242712"
"LIGHT","","38.028979163","26.8930538618","21.3148549916","6.80322497283","6.95988701071","","44.3263551989","29.3288851953","26.3447596059","","ALP","59.5844697841","LIB","40.4155302159"
"MACKILLOP","","17.6882109087","49.6434871134","22.8102802957","3.34386654858","6.51415513365","","20.1859276659","52.8556990877","26.9583732464","","LIB","58.7286476463","NXT/SA BEST","41.1816947269"
"MAWSON","","27.258163889","30.9944094333","25.6901769078","11.0318752285","5.02537454146","","34.0813972208","33.2062359624","32.7123668168","","ALP","54.1878539239","LIB","45.8121460761"
"MORIALTA","","23.3439872063","36.1822984199","27.3326444464","8.92001024999","4.22105967743","","28.5483224174","38.5114835581","32.9401940245","","LIB","46.3041456145","NXT/SA BEST","53.6958543855"
"MORPHETT","","30.553176505","39.573353337","18.2054974675","8.69429606123","2.97367662927","","36.812121352","41.3060413393","21.8818373086","","ALP","49.853242488","LIB","50.146757512"
