"Seat","Primary Votes","ALP","LIB","NXT/SA BEST","GRN","OTHER","3CP","ALP","LIB","NXT/SA BEST","2PP","Party 1","Votes","Party 2","Votes","Assumed Winner"
"ADELAIDE","","22.7747502489","47.0557021248","13.4316553177","11.5152541069","5.22263820167","","31.8585836661","49.6622311158","18.4791852182","","ALP","43.1889624953","LIB","57.1754489201","LIB"
"BADCOE","","30.8460955149","36.0052752837","17.3875276083","8.8283537321","6.93274786105","","38.878112569","38.8863674033","22.2355200277","","ALP","52.2883935497","LIB","47.7116064503","ALP"
"BLACK","","30.2493031632","37.3428943182","18.0095232893","6.8530876806","7.54519154867","","36.5680139386","40.4349197148","22.9970663465","","ALP","50.2020485559","LIB","50.1815163496","ALP"
"BRAGG","","13.4905994294","59.3811772673","15.2799330961","7.5361932378","4.31209696939","","18.6770110521","61.9346638771","19.3883250709","","ALP","29.7247280934","LIB","70.7778822583","LIB"
"CHAFFEY","","15.7457202129","42.8699592083","26.9177509566","2.55447072544","11.9120988968","","19.6234303366","47.3897278064","32.986841857","","LIB","52.9092963397","NXT/SA BEST","47.4567881034","LIB"
"CHELTENHAM","","43.9726675388","23.6876023821","16.6933564864","5.95724315276","9.68913044003","","51.147847656","26.915198955","21.936953389","","ALP","64.9021965503","LIB","35.5427319501","ALP"
"COLTON","","26.1901243731","46.7211598647","16.0884738648","5.59874942517","5.40149247235","","31.2197018688","49.1610024981","19.6192956332","","ALP","42.3993819095","LIB","57.6006180905","LIB"
"CROYDON","","47.4419393092","22.2529805731","14.4127799355","7.96333533618","7.92896484591","","55.7533164826","24.8401350617","19.4065484557","","ALP","68.1908304108","LIB","31.8091695892","ALP"
"DAVENPORT","","24.9023599236","37.51562303","21.8569802939","7.34221226483","8.38282448774","","31.6436492261","40.8417620044","27.5145887694","","ALP","47.1519941322","LIB","52.8480058678","LIB"
"DUNSTAN","","22.1069846597","48.3574922757","14.8072705303","9.44188946379","5.28636307045","","29.3473786317","50.8878001186","19.7648212497","","ALP","41.4573693905","LIB","58.9417686541","LIB"
"ELDER","","24.9994214944","40.1193423668","19.608922832","8.58974242054","6.68257088627","","31.6185973056","43.1857941259","25.1956085686","","ALP","46.6213490764","LIB","53.7451037453","LIB"
"ELIZABETH","","45.8629197733","17.1642175169","17.2565444576","3.69458220823","16.021736044","","54.3252236774","21.8093234814","23.8654528412","","ALP","60.5446926432","NXT/SA BEST","38.915513314","ALP"
"ENFIELD","","38.2833400403","30.7795186296","15.9849784908","6.90754740964","8.04461542961","","45.5832671492","33.6844335159","20.7322993348","","ALP","58.5081046364","LIB","41.8702045889","ALP"
