"Seat","Primary Votes","ALP","LIB","NXT/SA BEST","GRN","OTHER","3CP","ALP","LIB","NXT/SA BEST","2PP","Party 1","Votes","Party 2","Votes"
"ADELAIDE","","22.7943954338","38.0460190518","23.6501466927","12.165475173","3.34396364872","","31.7367074401","40.0342981812","28.2289943787","","ALP","48.2040396512","LIB","51.7959603488"
"BADCOE","","29.0475526821","29.0244105662","28.9788603258","8.91625906673","4.03291735913","","36.1483165005","30.9951218493","32.8565616502","","ALP","44.1796605072","NXT/SA BEST","55.8203394928"
"BLACK","","29.0645184643","28.9046969221","30.4424653393","6.95048550146","4.63783377291","","34.5635261433","30.997235682","34.4392381747","","ALP","42.7197301763","NXT/SA BEST","57.2802698237"
"BRAGG","","13.6265588795","48.3997422887","27.1522765337","8.03504052737","2.78638177076","","18.687688806","50.3602995576","30.9520116364","","LIB","56.2872915625","NXT/SA BEST","43.7127084375"
"CHAFFEY","","14.5762170292","32.0351270085","43.8380181391","2.49611345713","7.05452436612","","17.0508022552","34.8610370749","48.0881606699","","LIB","39.318118008","NXT/SA BEST","60.681881992"
"CHELTENHAM","","40.5975999021","19.1553447189","28.2399985917","6.04668827559","5.96036851174","","46.4606742161","21.2542136722","32.2851121117","","ALP","53.1422078228","NXT/SA BEST","46.8577921772"
"COLTON","","25.3903158706","38.09095566","27.4394396196","5.72931459213","3.34997425762","","29.8736842505","39.8155846811","30.3107310684","","LIB","49.2332326553","NXT/SA BEST","50.7667673447"
"CROYDON","","45.1871591817","17.8245471228","24.150726877","8.00624186012","4.83132495838","","52.4369613729","19.4766056614","28.0864329657","","ALP","59.2246375106","NXT/SA BEST","40.7618859902"
"DAVENPORT","","23.0541911614","29.2078276624","35.5983107833","7.17492582761","4.96474456538","","28.6681860401","31.3841139651","39.9476999948","","LIB","39.440677391","NXT/SA BEST","60.559322609"
"DUNSTAN","","21.9806973203","38.8462514398","25.901016742","9.9095050601","3.36252943779","","28.9100924979","40.7193218551","30.370585647","","LIB","49.2928979139","NXT/SA BEST","50.7071020861"
